ilanBasligi,adres,il,fiyat(TRY),ilanID,ilanTarihi,marka,seri,model,kilometre(Km),yıl,vitesTipi,yakitTuru,kasaTipi,renk,motorHacmi(Cc),motorGucu(HP),cekisTipi,boyaParcaDurumu,takasUygunluk,saticiTuru,aracVergisi(TRY),hasarGecmisi,orjinal_parça_sayısı,lokal_boyalı_parça_sayısı,boyalı_parça_sayısı,değişen_parça_sayısı,durumu_belirtilmemiş_parça_sayısı
Sahibinden Fiat Palio 1.3 Multijet SL 2004 Model,Kocasinan Merkez Mh. Bahçelievler,İstanbul,275.000 TL,28797293,08 Nisan 2025,Fiat,Palio,1.3 Multijet SL,350.000 km,2004.0,Düz,Dizel,Hatchback/5,Beyaz,1248 cc,70 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Sağ Arka Çamurluk  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Değişmiş  Arka Kaput  Belirtilmemiş  Tavan  Ön Tampon  Arka Tampon,,Sahibinden,,,0,0,9,1,3
Sahibinden Fiat Linea 1.4 Lpg Fire Pop 2015 Model,Köprübaşı Mh. Göksun,Kahramanmaraş,495.000 TL,28797331,08 Nisan 2025,Fiat,Linea,1.4 Fire Pop,170.000 km,2015.0,Düz,LPG & Benzin,Sedan,Beyaz,1368 cc,77 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Sağ Arka Çamurluk  Değişmiş  -  Belirtilmemiş  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,Takasa Uygun,,1.606,,0,0,1,0,12
ACİL SATILIK Aradığım arabayı buldum,Feridun Mh. Silvan,Diyarbakır,260.000 TL,28805330,09 Nisan 2025,Fiat,Palio,1.3 Multijet EL,290.000 km,2005.0,Düz,Dizel,Hatchback/5,Kahverengi,,,,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,,0,0,0,0,13
Sahibinden Fiat Linea 1.3 Multijet Active Plus 2015 Model,Selahaddin Eyyubi Mh. Esenyurt,İstanbul,455.000 TL,28797399,08 Nisan 2025,Fiat,Linea,1.3 Multijet Active Plus,198.605 km,2015.0,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Arka Kaput  Sağ Arka Kapı  Sağ Ön Kapı  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Sol Arka Çamurluk  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,Takasa Uygun,,,,0,0,3,0,10
Sahibinden Fiat Punto 1.4 Easy S&S 2012 Model,Acıbadem Mh. Kadıköy,İstanbul,407.500 TL,28804672,09 Nisan 2025,Fiat,Punto,1.4 Easy S&S,229.156 km,2012.0,Yarı Otomatik,LPG & Benzin,Hatchback/5,Kırmızı,1368 cc,77 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Sağ Ön Kapı  Boyalı  Sol Arka Çamurluk  Sol Arka Kapı  Sol Ön Kapı  Sol Ön Çamurluk  Değişmiş  Sağ Ön Çamurluk  Motor Kaputu  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sağ Arka Kapı  Tavan  Ön Tampon  Arka Tampon,,Sahibinden,,,0,1,4,2,6
Sahibinden Fiat Tempra 1.6 ie SLX 1996 Model,Bahçelievler Mh. Kapaklı,Tekirdağ,250.000 TL,28797482,08 Nisan 2025,Fiat,Tempra,1.6 ie SLX,154.000 km,1996.0,Düz,LPG & Benzin,Sedan,Gri (metalik),1581 cc,90 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  Sağ Ön Çamurluk  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,436,,0,0,0,1,12
Sahibinden Fiat Palio 1.3 Multijet Active Sole 2008 Model,Beyazlar Mh. Şahinbey,Gaziantep,300.000 TL,28806098,09 Nisan 2025,Fiat,Palio,1.3 Multijet Active Sole,244.300 km,2008.0,Düz,Dizel,Hatchback/5,Beyaz,1248 cc,70 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sağ Ön Çamurluk  Motor Kaputu  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  Sol Arka Çamurluk  Sol Arka Kapı  Sol Ön Kapı  Değişmiş  Sol Ön Çamurluk  Belirtilmemiş  -,,Sahibinden,,,9,0,3,1,0
Sahibinden Fiat Tempra 1.6 ie SLX 1996 Model,Sümer Mh. Merkez,Bolu,195.000 TL,28797578,08 Nisan 2025,Fiat,Tempra,1.6 ie SLX,178.000 km,1999.0,Düz,LPG & Benzin,Sedan,Gri,1581 cc,90 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,,,,0,0,0,0,13
Sahibinden Fiat Egea 1.6 Multijet Urban 2018 Model,Güzelçamlı Mh. Kuşadası,Aydın,750.000 TL,28816174,08 Nisan 2025,Fiat,Egea,1.6 Multijet Urban,200.000 km,2018.0,Düz,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Sağ Ön Kapı  Sağ Ön Çamurluk  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,Takasa Uygun,,,,0,2,0,0,11
Sahibinden Fiat Albea 1.3 Multijet EL 2007 Model,Esenyalı Mh. Pendik,İstanbul,200.000 TL,28797615,07 Nisan 2025,Fiat,Albea,1.3 Multijet EL,680.000 km,2007.0,Düz,Dizel,Cabrio,Mavi,,,,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,,0,0,0,0,13
Sahibinden Fiat Linea 1.3 Multijet Urban 2014 Model,Karşıyaka Mh. Altınordu,Ordu,360.000 TL,28816153,09 Nisan 2025,Fiat,Linea,1.3 Multijet Urban,6.001 km,2014.0,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,,,,13,0,0,0,0
Sahibinden Fiat 500 Ailesi 500L 1.3 Mjet PopStar 2013 Model,Ergene Mh. Bornova,İzmir,725.000 TL,28814591,08 Nisan 2025,Fiat,500 Ailesi,500L 1.3 Mjet PopStar,150.000 km,2013.0,Yarı Otomatik,Dizel,MPV,Beyaz,1248 cc,85 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Sağ Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Sağ Ön Çamurluk  Değişmiş  -  Belirtilmemiş  Arka Kaput  Sol Arka Çamurluk  Tavan  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,,0,0,4,0,9
Sahibinden Fiat Albea Sole 1.3 Multijet Active Plus 2012 Model,Çakmaklı Mh. Büyükçekmece,İstanbul,425.000 TL,28797696,08 Nisan 2025,Fiat,Albea,Sole 1.3 Multijet Active Plus,183.000 km,2012.0,Düz,Dizel,Sedan,Beyaz,1248 cc,70 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Sağ Ön Kapı  Motor Kaputu  Boyalı  Sağ Ön Çamurluk  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,Takasa Uygun Değil,,,,0,2,1,0,10
Sahibinden Fiat Linea 1.3 Multijet Active 2011 Model,Fatih Mh. Bağcılar,İstanbul,350.000 TL,28815859,09 Nisan 2025,Fiat,Linea,1.3 Multijet Active,306.000 km,2011.0,Düz,Dizel,Sedan,Gri,1248 cc,90 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Değişmiş  -  Belirtilmemiş  Tavan  Ön Tampon  Arka Tampon,,Sahibinden,,,0,0,10,0,3
Sahibinden Fiat Egea 1.3 Multijet Easy 2019 Model,Camikebir Mh. Kulu,Konya,690.000 TL,28808675,08 Nisan 2025,Fiat,Egea,1.3 Multijet Easy,152.000 km,2019.0,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,,,,13,0,0,0,0
Sahibinden Fiat Palio 1.3 Multijet EL 2004 Model,Küçükbölcek Mh. Merkez,Aksaray,307.000 TL,28808016,09 Nisan 2025,Fiat,Palio,1.3 Multijet EL,244.000 km,2004.0,Düz,Dizel,Hatchback/5,Beyaz,1248 cc,70 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Sol Ön Çamurluk  Ön Tampon  Lokal boyalı  Motor Kaputu  Arka Tampon  Boyalı  Sol Arka Çamurluk  Değişmiş  -  Belirtilmemiş  -,,Sahibinden,,,10,2,1,0,0
Sahibinden Fiat Linea 1.6 Multijet Emotion Plus 2011 Model,İnönü Mh. Torbalı,İzmir,575.000 TL,28808111,09 Nisan 2025,Fiat,Linea,1.6 Multijet Emotion Plus,109.000 km,2011.0,Düz,Dizel,Sedan,Kırmızı,1598 cc,105 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Lokal boyalı  -  Boyalı  Arka Kaput  Değişmiş  -  Belirtilmemiş  Ön Tampon  Arka Tampon,,Sahibinden,,,10,0,1,0,2
Sahibinden Fiat Egea 1.3 Multijet Easy 2017 Model,Aşağı Dudullu Mh. Ümraniye,İstanbul,665.000 TL,28807779,09 Nisan 2025,Fiat,Egea,1.3 Multijet Easy,118.000 km,2017.0,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Sağ Arka Çamurluk  Sağ Arka Kapı  Boyalı  -  Değişmiş  -  Belirtilmemiş  Arka Kaput  Sol Arka Çamurluk  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,,0,2,0,0,11
Sahibinden Fiat Tempra 1.6 SX 1992 Model,Kavakyolu Beldesi (Hamidiye Mh.) Merkez,Erzincan,180.000 TL,28815373,09 Nisan 2025,Fiat,Tempra,1.6 SX,182.000 km,1992.0,Düz,LPG & Benzin,Sedan,Yeşil (metalik),1581 cc,75 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,,,,0,0,0,0,13
Sahibinden Fiat Palio 1.3 Multijet Dynamic Sole 2008 Model,Eğitim Mh. Kadıköy,İstanbul,360.000 TL,28804730,09 Nisan 2025,Fiat,Palio,1.3 Multijet Dynamic Sole,193.000 km,2008.0,Düz,Dizel,Hatchback/5,Gri (metalik),1248 cc,70 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Motor Kaputu  Sol Ön Çamurluk  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,,0,2,0,0,11
Sahibinden Fiat Tempra 1.6 SX 1992 Model,Şeyhcui Mh. Merkez,Amasya,125.000 TL,28806224,09 Nisan 2025,Fiat,Tempra,1.6 SX,295.000 km,1992.0,Düz,LPG & Benzin,Sedan,Siyah,1581 cc,86 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,,,,0,0,0,0,13
Sahibinden Fiat Tipo 1.6 S 1996 Model,Raufbey Mh. Merkez,Osmaniye,210.000 TL,28804808,09 Nisan 2025,Fiat,Tipo,1.6 S,240.000 km,1996.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1581 cc,75 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  Sol Ön Çamurluk  Değişmiş  -  Belirtilmemiş  -,,,,,12,0,1,0,0
Sahibinden Fiat Uno 70 S 1997 Model,Kurşunlu Mh. Hekimhan,Malatya,155.000 TL,28814733,09 Nisan 2025,Fiat,Uno,70 S,345.000 km,1997.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1372 cc,71 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,436,,0,0,0,0,13
Sahibinden Fiat Tempra 1.6 SXA 1992 Model,Sağlık Mh. Şabanözü,Çankırı,135.000 TL,28814598,09 Nisan 2025,Fiat,Tempra,1.6 SX,10.000 km,1992.0,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,75 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,,,,0,0,0,0,13
Sahibinden Fiat Palio 1.2 SL 2005 Model,Musalla Bağları Mh. Selçuklu,Konya,330.000 TL,28801202,09 Nisan 2025,Fiat,Palio,1.2 SL,255.000 km,2005.0,Düz,LPG & Benzin,Hatchback/5,Gri,1242 cc,74 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Sol Arka Çamurluk  Sol Arka Kapı  Sol Ön Kapı  Ön Tampon  Arka Tampon  Değişmiş  Sol Ön Çamurluk  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sağ Ön Çamurluk  Motor Kaputu,,,,,0,0,5,1,7
Sahibinden Fiat Uno 70 S 1998 Model,Akşemsettin Mh. Mamak,Ankara,155.000 TL,28815298,09 Nisan 2025,Fiat,Uno,70 S,280.000 km,1998.0,Düz,LPG & Benzin,Hatchback/5,Mavi,1372 cc,71 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  Sağ Ön Çamurluk  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,,,,0,0,0,1,12
HATASIZ BOYASIZ URBANPLUS!!!,Hanlı Merkez Mh. Arifiye,Sakarya,715.000 TL,28800910,08 Nisan 2025,Fiat,Egea,1.4 Fire Urban Plus,78.000 km,2020.0,Düz,LPG & Benzin,Sedan,Beyaz,1368 cc,95 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun,,,,13,0,0,0,0
Sahibinden Fiat Tipo 1.6 S 1994 Model,Cumhuriyet Mh. Selçuklu,Konya,210.000 TL,28801198,09 Nisan 2025,Fiat,Tipo,1.6 S,316.850 km,1994.0,Düz,LPG & Benzin,Sedan,Beyaz,1601 - 1800 cm3,76 - 100 HP,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,,,,0,0,0,0,13
Sahibinden Fiat Siena 1.4 EL 2001 Model 225.000 km Beyaz,Güneykent Mh. Merkez,Elazığ,275.000 TL,28814572,09 Nisan 2025,Fiat,Siena,1.4 EL,225.000 km,2001.0,Düz,LPG & Benzin,Sedan,Beyaz,1372 cc,71 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  Motor Kaputu  Belirtilmemiş  -,,,,,12,0,0,1,0
2019 2020 ÇIKIŞLI URBAN PLUS 51.000 KM,Kuruçeşme Mh. Buca,İzmir,710.000 TL,28801224,08 Nisan 2025,Fiat,Egea,1.4 Fire Urban Plus,51.000 km,2019.0,Düz,Benzin,Sedan,Kırmızı,1368 cc,95 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,,,,13,0,0,0,0
Sahibinden Fiat Tempra 1.6 SX 1992 Model,Cihanpaşa Köyü Merkez,Yozgat,140.000 TL,28815364,09 Nisan 2025,Fiat,Tempra,1.6 SX,142.488 km,1992.0,Düz,LPG & Benzin,Sedan,Mavi,1581 cc,75 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,,,,0,0,0,0,13
Sahibinden Fiat Linea 1.3 Multijet Urban 2014 Model,Yunus Mh. Kartal,İstanbul,365.000 TL,28801369,09 Nisan 2025,Fiat,Linea,1.3 Multijet Urban,380.000 km,2014.0,Düz,Dizel,Sedan,Füme,1248 cc,95 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Arka Tampon  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon,,Sahibinden,,,0,0,1,0,12
Sahibinden Fiat Palio 1.2 SL 2004 Model,85. Yıl Cumhuriyet Mh. Menemen,İzmir,290.000 TL,28801601,09 Nisan 2025,Fiat,Palio,1.2 SL,326.000 km,2004.0,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1242 cc,74 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,Takasa Uygun,,,,0,0,0,0,13
Sahibinden Fiat Egea 1.4 Fire Easy 2019 Model,Hamdibey Mh. Biga,Çanakkale,650.000 TL,28814462,09 Nisan 2025,Fiat,Egea,1.4 Fire Easy,59.500 km,2019.0,Düz,LPG & Benzin,Sedan,Beyaz,1368 cc,95 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,,Sahibinden,,,13,0,0,0,0
Sahibinden Fiat Brava 1.6 ELX 2001 Model,Gazi Mh. Akşehir,Konya,200.000 TL,28803611,09 Nisan 2025,Fiat,Brava,1.6 ELX,347.000 km,2001.0,Düz,LPG & Benzin,Hatchback/5,Gri,1581 cc,103 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,,0,0,0,0,13
Sahibinden Fiat Egea 1.4 Fire Easy 2023 Model,Bahçelievler Mh. Merkez,Zonguldak,875.000 TL,28802364,07 Nisan 2025,Fiat,Egea,1.4 Fire Easy,6.001 km,2023.0,Düz,Benzin,Sedan,Mavi,1368 cc,95 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,,Sahibinden,,,13,0,0,0,0
Sahibinden Fiat Tempra 1.6 SX 1993 Model,Siteler Mh. Akdeniz,Mersin,190.000 TL,28806289,09 Nisan 2025,Fiat,Tempra,1.6 SX,164.000 km,1993.0,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,86 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,,436,,0,0,0,0,13
Sahibinden Fiat 500 Ailesi 500L 1.3 Mjet RockStar 2017 Model İstanbul,Merkez Bahçelievler,İstanbul,960.000 TL,28809119,07 Nisan 2025,Fiat,500 Ailesi,500L 1.3 Mjet RockStar,56.000 km,2017.0,Yarı Otomatik,Dizel,MPV,Beyaz,1248 cc,95 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,,826,,13,0,0,0,0
Galeriden Fiat Egea 1.6 E-Torq Easy 2019 Model Bursa,Soğanlı Mh. Osmangazi,Bursa,675.000 TL,28809396,07 Nisan 2025,Fiat,Egea,1.6 E-Torq Easy,172.000 km,2019.0,Otomatik,Benzin,Sedan,Beyaz,1598 cc,110 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Sağ Ön Çamurluk  Boyalı  Sağ Arka Çamurluk  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Sol Arka Kapı  Sol Ön Kapı  Değişmiş  -  Belirtilmemiş  Arka Kaput  Tavan  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,Takasa Uygun,,,,0,1,6,0,6
